Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_link2,0.000958653082196427,0.201270903257914,-0.0432950403578416,0,0,0,3.1157546443953,0.0135579454108103,0.000115314171114847,3.7546757884485E-08,0.00708202087654693,1.01051941171363E-06,0.013377043683685,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/body_link2.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/body_link2.STL,,RJ2506-20251125.STEP-1/____.STEP-1;RJ2506-20251125.STEP-1/RJ2506-20-100 ____.STEP-1;RJ2506-20251125.STEP-1/PH25-2.1.STEP-2;RJ2506-20251125.STEP-1/PH25-2.1.STEP-3;RJ2506-20251125.STEP-1/J1____________.STEP-1;RJ2506-20251125.STEP-1/J1____________.STEP-2;RJ2506-20251125.STEP-1/____________-1.STEP-1;RJ2506-20251125.STEP-1/PH25-2.1.STEP-4,CoorBodyLink2,RotationAxisBodyJoint2,body_joint2,revolute,0,-0.0455,0.08,1.5708,0,0,body_link1,0,0,-1,0,0,0,0.75,,,,,,,,
cam_head,0.0792753926401016,0.444110893186266,-0.0455000000000116,0,0,0,0.0746933693755749,1.84259414422146E-05,-1.01766647264786E-06,-4.06924508647163E-20,1.86250552425885E-05,4.20717515440199E-20,1.74035104077852E-05,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/cam_head.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/cam_head.STL,,RJ2506-20251125.STEP-1/________-5.STEP-1,CoorBodyLink2,Axis_head_cam_joint,head_cam_joint,fixed,0,0,0,0,0,0,body_link2,0,0,0,,,,,,,,,,,,
left_arm_link0,0.0882711459374961,-0.000362302850968055,-0.00294472984422307,0,0,0,0.238001140524293,0.000424938539691083,2.48906792021067E-08,5.57253420622779E-05,0.000704505764655377,3.09270373297774E-08,0.000861651567587453,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_arm_link0.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_arm_link0.STL,,RJ2506-20251125.STEP-1/J2______B______.STEP-1,CoorLeftArmLink00,RotationAxisLeftArmJoint00,left_arm_joint0,revolute,0,0.2525,-0.155,0,1.5708,0,body_link2,-1,0,0,0,0,-3.14,3.14,,,,,,,,
left_arm_link1,-0.0479372885458475,-0.0255990315987933,0.00321022550757699,0,0,0,0.891893424900436,0.00161545702563551,-7.69856406328664E-05,5.15085952795883E-06,0.00121657663419294,-6.30944159758869E-06,0.00129387995939797,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_arm_link1.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_arm_link1.STL,,RJ2506-20251125.STEP-1/J2__B______.STEP-1;RJ2506-20251125.STEP-1/PH20-2.1.STEP-2,CoorLeftArmLink1,RotationAxisLeftArmJoint1,left_arm_joint1,revolute,0.108,0,-0.0525,0,1.5708,0,left_arm_link0,-1,0,0,0,0,0,3.14,,,,,,,,
left_arm_link2,0.107184008785762,0.00400227029796518,-2.6008859841456E-06,0,0,0,0.824773571458771,0.000826589534514666,-6.36410087070468E-05,8.96849354044908E-07,0.00151814031423236,4.39286686177597E-08,0.00146453441013561,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_arm_link2.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_arm_link2.STL,,RJ2506-20251125.STEP-1/J3__&J4__B__________.STEP-1;RJ2506-20251125.STEP-1/PH17-2.1.STEP-3;RJ2506-20251125.STEP-1/PH17-2.1.STEP-4,CoorLeftArmLink2,RotationAxisLeftArmJoint2,left_arm_joint2,revolute,-0.053911,-0.12996,0.011921,1.5767,-0.087266,-1.5713,left_arm_link1,1,0,0,0,0,-3.14,3.14,,,,,,,,
left_arm_link3,0.0473618581774884,-0.0479647252689563,0.00359619407468852,0,0,0,0.309934047430043,0.000644628581739132,4.52871938070663E-05,6.07478036250765E-06,0.000391514989697135,-6.13423775177319E-06,0.000481429600142671,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_arm_link3.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_arm_link3.STL,,RJ2506-20251125.STEP-1/J4__B______.STEP-1,CoorLeftArmLink3,RotationAxisLeftArmJoint3,left_arm_joint3,revolute,0.175,0.04945,-0.00028886,3.1411,-0.0058414,-1.5708,left_arm_link2,1,0,0,0,0,0,1.57,,,,,,,,
left_arm_link4,0.058927807041321,9.25924841572723E-05,-0.000134846182588293,0,0,0,0.481340222963776,0.000464225178501514,2.25015402936985E-07,4.27843087468458E-05,0.000862590377554964,6.85499501295902E-08,0.000850619186439978,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_arm_link4.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_arm_link4.STL,,RJ2506-20251125.STEP-1/J5&J6__________.STEP-2;RJ2506-20251125.STEP-1/PH14-2.1.STEP-2,CoorLeftArmLink4,RotationAxisLeftArmJoint4,left_arm_joint4,revolute,0.050131,-0.1105,-0.00013589,3.1416,0,-1.5708,left_arm_link3,1,0,0,0,0,-3.14,3.14,,,,,,,,
left_hand_base,0.0490104745154481,-0.000222931856034503,0.0570954519754371,0,0,0,0.425977846728743,0.000196167542911642,-1.08827996223091E-07,2.59181400252083E-08,0.000192354967475662,-2.21891311843369E-07,0.000194835525376335,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_hand_base.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_hand_base.STL,,RJ2506-20251125.STEP-1/________-2.STEP-2;RJ2506-20251125.STEP-1/PH11-2.2__M2-48V__.STEP-2,CoorLeftArmLink5,RotationAxisLeftArmJoint5,left_arm_joint5,revolute,0.155,0.0013007,0.045864,0,1.5708,0,left_arm_link4,1,0,0,0,0,-3.14,3.14,,,,,,,,
left_hand_finger1,0.0495060496321965,0.0197399835686078,0.180370756431536,0,0,0,0.0086569874075513,1.10420099973295E-06,1.78479008444909E-08,5.96643317325932E-08,1.03663597894263E-06,9.54866713752479E-08,3.74482952935254E-07,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_hand_finger1.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_hand_finger1.STL,,RJ2506-20251125.STEP-1/____________-3.STEP-3,CoorLeftArmLink5,SlideAxisLeftHand,left_hand_finger1_joint,prismatic,0,0,0,0,0,0,left_hand_base,0,-1,0,0,0,0,0.015,,,,,,,,
left_hand_finger2,0.0434939503377452,-0.0197407586191736,0.180370756229866,0,0,0,0.00865698738066051,1.10420099707155E-06,1.78479004188489E-08,-5.9664332003823E-08,1.0366359771396E-06,-9.54866703354799E-08,3.74482950590246E-07,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_hand_finger2.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_hand_finger2.STL,,RJ2506-20251125.STEP-1/____________-3.STEP-4,CoorLeftArmLink5,SlideAxisLeftHand,left_hand_finger2_joint,prismatic,0,0,0,0,0,0,left_hand_base,0,1,0,0,0,0,0.015,,,,,,,,
left_hand_front_cam,-0.0104927683788675,-3.87521575939687E-07,0.104674295101155,0,0,0,0.095866762144438,2.75408188934257E-05,-1.36587005275684E-18,-9.02838216739117E-07,2.3346676346651E-05,1.42428590080811E-18,2.41800785288576E-05,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_hand_front_cam.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/left_hand_front_cam.STL,,RJ2506-20251125.STEP-1/____-4.STEP-2,CoorLeftArmLink5,Axis_left_hand_front_cam_joint,left_hand_front_cam_joint,fixed,0,0,0,0,0,0,left_hand_base,0,0,0,,,,,,,,,,,,
right_arm_link0,0.088236442817197,-0.000362081822915306,0.00385039494392755,0,0,0,0.238000914058001,0.000426129108471693,2.49353580985063E-08,-6.01936313197551E-05,0.000704510673237459,-2.98983911991416E-08,0.000860463417888521,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_arm_link0.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_arm_link0.STL,,RJ2506-20251125.STEP-1/J2____________.STEP-1,CoorRightArmLink0,RotationAxisRightArmJoint0,right_arm_joint0,revolute,0,0.2525,0.064,0,-1.5605,0,body_link2,1,0,0,0,0,-3.14,3.14,,,,,,,,
right_arm_link1,-0.0479409595985664,-0.0255967765041668,-0.00321167696539792,0,0,0,0.8918480783456,0.00161538679808183,-7.69454230419985E-05,-5.17312455499622E-06,0.00121653211059272,6.34189268601815E-06,0.00129385277087062,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_arm_link1.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_arm_link1.STL,,RJ2506-20251125.STEP-1/J2________.STEP-1;RJ2506-20251125.STEP-1/PH20-2.1.STEP-1,CoorRightArmLink1,RotationAxisRightArmJoint1,right_arm_joint1,revolute,0.10746,0,0.053605,-3.1416,-1.5605,3.1416,right_arm_link0,1,0,0,0,0,0,3.14,,,,,,,,
right_arm_link2,0.107173452837241,0.00428698418342799,-7.69559850356122E-06,0,0,0,0.824770515441108,0.000826923100009396,-6.54752193016521E-05,-7.97007646227534E-07,0.00151776036698689,-5.75352380344061E-08,0.00146450154625875,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_arm_link2.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_arm_link2.STL,,RJ2506-20251125.STEP-1/PH17-2.1.STEP-1;RJ2506-20251125.STEP-1/J3__&J4____________.STEP-1;RJ2506-20251125.STEP-1/PH17-2.1.STEP-2,CoorRightArmLink2,RotationAxisRightArmJoint2,right_arm_joint2,revolute,-0.053911,-0.12996,-0.011921,-1.5759,0.084611,-1.5712,right_arm_link1,1,0,0,0,0,-3.14,3.14,,,,,,,,
right_arm_link3,0.0473623331671174,-0.0479646569313931,-0.00359604148466477,0,0,0,0.309940241378268,0.000644636360974277,4.52869726413715E-05,-6.07686624362506E-06,0.000391520750370997,6.13373934074774E-06,0.00048143170992429,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_arm_link3.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_arm_link3.STL,,RJ2506-20251125.STEP-1/J4______.STEP-1,CoorRightArmLink3,RotationAxisRightArmJoint3,right_arm_joint3,revolute,0.17487,0.049915,0.00024066,-3.1411,0.0050971,-1.5681,right_arm_link2,-1,0,0,0,0,0,1.57,,,,,,,,
right_arm_link4,0.0589278085190901,-0.000169213530577861,0.000134800323891592,0,0,0,0.48134024714874,0.000464224539927095,2.24808895452248E-07,-4.27886090998918E-05,0.000862589683855108,6.87149814575955E-08,0.000850619131205673,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_arm_link4.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_arm_link4.STL,,RJ2506-20251125.STEP-1/J5&J6__________.STEP-1;RJ2506-20251125.STEP-1/PH14-2.1.STEP-1,CoorRightArmLink4,RotationAxisRightArmJoint4,right_arm_joint4,revolute,0.049869,-0.1105,0.00013589,-3.1416,0,-1.5708,right_arm_link3,1,0,0,0,0,-3.14,3.14,,,,,,,,
right_hand_base,0.0490104742862492,-0.0571014202477721,8.00800618380726E-05,0,0,0,0.4259779188237,0.000196167609255449,-1.41259066535039E-07,4.72597127384279E-08,0.000194662709379743,1.35240533723015E-07,0.000192527883434596,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_hand_base.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_hand_base.STL,,RJ2506-20251125.STEP-1/________-2.STEP-1;RJ2506-20251125.STEP-1/PH11-2.2__M2-48V__.STEP-1,CoorRightArmLink5,RotationAxisRightArmJoint5,right_arm_joint5,revolute,0.155,-0.00013132,-0.045864,1.5708,-1.5708,0,right_arm_link4,1,0,0,0,0,-3.14,3.14,,,,,,,,
right_hand_finger1,0.0434939503684225,-0.180370756431385,-0.0197407586121253,0,0,0,0.00865698740755124,1.10420099973253E-06,5.96643317351086E-08,1.78479008441584E-08,3.74482952935663E-07,9.54866713753073E-08,1.03663597894262E-06,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_hand_finger1.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_hand_finger1.STL,,RJ2506-20251125.STEP-1/____________-3.STEP-1,CoorRightArmLink5,SlideAxisRightHand,right_hand_finger1_joint,prismatic,0,0,0,0,0,0,right_hand_base,0,0,1,0,0,0,0.015,,,,,,,,
right_hand_finger2,0.0495060496628758,-0.180370756229697,0.0197399835756545,0,0,0,0.00865698738066073,1.10420099707201E-06,-5.96643320013183E-08,1.78479004191753E-08,3.74482950589842E-07,-9.54866703354257E-08,1.03663597713964E-06,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_hand_finger2.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_hand_finger2.STL,,RJ2506-20251125.STEP-1/____________-3.STEP-2,CoorRightArmLink5,SlideAxisRightHand,right_hand_finger2_joint,prismatic,0,0,0,0,0,0,right_hand_base,0,0,-1,0,0,0,0.015,,,,,,,,
right_hand_front_cam,-0.0104927683785074,-0.104674295101191,-3.87521945199865E-07,0,0,0,0.095866762144438,2.75408188934194E-05,9.02838216750682E-07,1.57928981769988E-18,2.41800785288638E-05,1.45414381219882E-18,2.3346676346651E-05,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_hand_front_cam.STL,1,1,1,1,0,0,0,0,0,0,package://RJ2506-20251125-all-13/meshes/right_hand_front_cam.STL,,RJ2506-20251125.STEP-1/____-4.STEP-1,CoorRightArmLink5,Axis_right_hand_front_cam_joint,right_hand_front_cam_joint,fixed,0,0,0,0,0,0,right_hand_base,0,0,0,,,,,,,,,,,,
